Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-76.66,0,2
-76.55,0,2
-76.46,0,2
-76.36,1,102.41
-19.16,1,136.68
-39.56,1,119.5
-49.51,1,60.84
-7.19,1,31.09
-64.65,1,27.49
-64.4,1,27.06
-64.29,1,27.01
-64.07,1,27
-63.71,1,27
-63.2,1,27
-62.55,1,27
-61.75,1,27
-60.77,1,27
-59.55,1,27
-58.23,1,27
-56.24,1,27
-53.48,1,27
-49.23,1,27.01
-41.63,1,27
-23.72,1,27
-65,1,27
-66.32,1,26.99
-67.24,1,27
-67.79,1,27
-68.05,1,27
-68.08,1,27
-67.93,1,27
-67.65,1,27
-67.27,1,27
-66.8,1,27
-66.27,1,27
-65.67,1,27
-65,1,27
-64.25,1,27
-63.41,1,27
-62.45,1,27
-61.34,1,27
-60.02,1,27
-58.4,1,27
-56.31,1,27
-53.41,1,27
-48.95,1,27
-40.92,1,27
-21.5,1,27.01
-65,1,27
-66.2,1,27
-67.03,1,27
-67.53,1,26.99
-67.92,1,27
-67.87,1,27
-67.67,1,26
-67.54,1,27
-67.08,1,27
-66.56,1,27
-65.97,1,27
-65.32,1,27
-64.6,1,27.02
-63.78,1,27
-62.87,1,27
-61.83,1,27
-60.6,1,25.99
-59.34,1,27
-57.71,1,27
-55.34,1,27
-51.94,1,27
-46.44,1,27
-35.56,1,27
-3.83,1,26
-65.43,1,27
-66.49,1,27
-67.19,1,27
-67.58,1,27
-67.71,1,27
-67.64,1,27
-67.42,1,27
-67.08,1,27
-66.65,1,27
-66.14,1,27
-65.55,1,27
-64.89,1,27
-64.15,1,27
-63.31,1,27
-62.35,1,27
-61.24,1,27
-60.11,1,27
-58.49,1,27
-56.42,1,27
-53.55,1,27
-49.17,1,27.01
-41.33,1,27
-22.67,1,27
-65,1,27
-66.19,1,25.99
-67.7,0,21.8
-70.91,0,17.27
-75.36,0,7.69
-81.13,0,2
-86.15,0,2
-87.33,0,2
-87.46,0,2
-87.36,0,2
-87.2,0,2
-87.11,0,2
-86.89,0,2
-86.71,0,2
-86.55,0,2
-86.39,0,2
-86.22,0,2
-86.06,0,2
-85.9,0,2
-85.75,0,2
-85.59,0,2
-85.43,0,2
-85.28,0,2
-85.12,0,2
-84.97,0,2
-84.82,0,2
